Chromosome	ORF	Promoter	UTR5	Start	End	UTR3	Terminator	End to end?	Tail to Tail?
chrVIII	YHR100C	Not available 	Not available 	314676	314119	15	0	1	0
chrVIII	YHR101C	477	64	315971	314877	707	Not available 	0	1
chrVIII	YHR102W	0	100	316575	319817	63	456	0	1
chrVIII	YHR103W	456	81	320417	322975	37	311	0	0
chrVIII	YHR104W	311	89	323412	324395	139	Not available 	0	1
chrVIII	YHR105W	Not available 	Not available 	324769	325413	Not available 	Not available 	0	1
chrVIII	YHR106W	Not available 	144	325601	326629	159	0	1	1
chrVIII	YHR107C	76	49	328039	326816	168	0	1	0
chrVIII	YHR108W	41	58	328306	330063	142	Not available 	0	1
chrVIII	YHR109W	Not available 	Not available 	330313	332070	76	125	0	0
chrVIII	YHR110W	125	14	332285	332923	110	Not available 	0	1
chrVIII	YHR111W	Not available 	Not available 	333075	334397	Not available 	Not available 	1	1
chrVIII	YHR112C	513	64	335666	334530	177	Not available 	1	1
chrVIII	YHR113W	481	16	336340	337812	97	130	0	1
chrVIII	YHR114W	130	47	338086	339987	141	0	1	0
chrVIII	YHR115C	0	160	341362	340112	92	0	1	0
chrVIII	YHR116W	204	10	341668	342123	256	Not available 	0	0
chrVIII	YHR117W	Not available 	Not available 	342352	344271	Not available 	Not available 	1	0
chrVIII	YHR118C	274	24	345631	344324	47	Not available 	1	0
chrVIII	YHR119W	132	236	346046	349288	117	64	0	0
chrVIII	YHR120W	64	108	349577	352456	58	177	0	1
chrVIII	YHR121W	177	68	352759	353322	99	153	0	0
chrVIII	YHR122W	153	54	353628	354323	147	312	0	1
chrVIII	YHR123W	312	36	354818	356084	125	263	0	1
chrVIII	YHR124W	263	92	356564	358447	34	Not available 	0	0
chrVIII	YHR125W	Not available 	Not available 	358861	359166	Not available 	Not available 	1	-1
chrVIII	YHR126C	Not available 	Not available 	360184	359705	Not available 	Not available 	1	0
chrVIII	YHR127W	Not available 	27	360916	361647	171	240	0	0
chrVIII	YHR128W	240	60	362118	362768	221	0	1	1
chrVIII	YHR129C	567	114	364156	363002	114	60	1	0
chrVIII	YHR130C	Not available 	Not available 	365303	364968	131	567	0	1
chrVIII	YHR131W-A	Not available 	Not available 	367750	367995	Not available 	Not available 	1	1
chrVIII	YHR131C	Not available 	Not available 	367895	365343	Not available 	Not available 	0	1
chrVIII	YHR132C	0	43	369797	368505	143	Not available 	1	0
chrVIII	YHR132W-A	84	33	370057	370452	316	0	1	0
chrVIII	YHR133C	0	35	371600	370725	136	104	1	0
chrVIII	YHR134W	0	803	371752	372561	139	0	1	1
chrVIII	YHR135C	162	111	374313	372697	82	0	1	1
chrVIII	YHR136C	Not available 	95	375103	374657	71	162	0	1
chrVIII	YHR137W	309	229	375712	377253	98	Not available 	1	0
chrVIII	YHR137C-A	Not available 	Not available 	376391	375741	Not available 	Not available 	0	1
chrVIII	YHR138C	442	53	377702	377358	80	0	1	0
chrVIII	YHR139C	Not available 	Not available 	379202	378222	25	442	0	1
chrVIII	YHR139C-A	Not available 	Not available 	380422	380111	Not available 	Not available 	0	0
chrVIII	YHR140W	Not available 	17	380575	381294	48	627	1	0
chrVIII	YHR141C	684	24	382754	381993	53	629	1	0
chrVIII	YHR142W	550	184	383541	384491	79	674	0	1
chrVIII	YHR143W	674	269	385513	386490	241	466	0	1
chrVIII	YHR143W-A	466	39	387236	387448	268	40	1	0
chrVIII	YHR144C	Not available 	35	388729	387791	237	67	1	1
chrVIII	YHR145C	Not available 	Not available 	389340	388984	Not available 	Not available 	0	1
chrVIII	YHR146W	Not available 	26	390303	391700	48	858	1	1
chrVIII	YHR147C	0	36	393286	392642	118	798	1	1
chrVIII	YHR148W	119	14	393537	394088	313	3	1	1
chrVIII	YHR149C	322	54	396662	394458	116	240	1	1
chrVIII	YHR150W	444	32	397254	398993	216	Not available 	1	1
chrVIII	YHR151C	Not available 	Not available 	400851	399271	Not available 	Not available 	1	0
chrVIII	YHR152W	Not available 	95	401437	401958	105	Not available 	1	1
chrVIII	YHR153C	Not available 	Not available 	402685	402089	Not available 	Not available 	1	1
chrVIII	YHR154W	Not available 	49	402969	406181	74	767	0	0
chrVIII	YHR155W	767	84	407106	410792	350	218	1	0
chrVIII	YHR156C	263	27	412409	411387	28	483	1	0
chrVIII	YHR157W	399	74	412910	413458	211	16	1	1
chrVIII	YHR158C	205	3	417182	413688	118	38	1	0
chrVIII	YHR159W	209	43	417552	419066	162	Not available 	1	1
chrVIII	YHR160C	Not available 	Not available 	420075	419224	Not available 	Not available 	1	0
chrVIII	YHR161C	353	318	422289	420376	78	Not available 	0	0
chrVIII	YHR162W	539	169	423075	423464	115	102	0	1
chrVIII	YHR163W	102	45	423726	424475	140	Not available 	1	0
chrVIII	YHR164C	Not available 	Not available 	429180	424612	116	0	1	1
chrVIII	YHR165W-A	Not available 	Not available 	436649	436960	90	58	1	0
chrVIII	YHR165C	Not available 	Not available 	436950	429709	78	Not available 	0	1
chrVIII	YHR166C	158	64	439052	437172	54	Not available 	1	0
chrVIII	YHR167W	194	44	439344	440129	70	Not available 	0	1
chrVIII	YHR168W	Not available 	Not available 	440379	441878	Not available 	Not available 	0	1
chrVIII	YHR169W	Not available 	130	442182	443477	91	209	0	0
chrVIII	YHR170W	209	52	443829	445385	101	Not available 	0	0
chrVIII	YHR171W	Not available 	Not available 	445713	447605	148	Not available 	0	0
chrVIII	YHR172W	Not available 	Not available 	448335	450806	Not available 	Not available 	1	0
chrVIII	YHR173C	Not available 	Not available 	451153	450815	Not available 	Not available 	1	1
chrVIII	YHR174W	Not available 	122	451327	452640	119	Not available 	0	0
chrVIII	YHR175W	Not available 	Not available 	452872	453441	204	Not available 	0	1
chrVIII	YHR175W-A	Not available 	Not available 	453558	453707	0	Not available 	0	1
chrVIII	YHR176W	Not available 	Not available 	454229	455527	62	Not available 	0	0
chrVIII	YHR177W	Not available 	Not available 	456591	457952	Not available 	Not available 	0	0
chrVIII	YHR178W	Not available 	47	459299	461530	139	786	0	0
chrVIII	YHR179W	786	47	462502	463704	105	1324	0	1
chrVIII	YHR180W	1324	45	465178	465669	93	Not available 	0	1
chrVIII	YHR180W-A	Not available 	Not available 	466932	467114	Not available 	Not available 	1	1
chrVIII	YHR180C-B	Not available 	Not available 	467062	466958	Not available 	Not available 	1	0
chrVIII	YHR181W	Not available 	59	467228	467914	89	Not available 	0	1
chrVIII	YHR182W	Not available 	Not available 	468219	470576	30	Not available 	1	0
chrVIII	YHR183W	0	78	470960	472429	121	Not available 	0	1
chrVIII	YHR182C-A	Not available 	Not available 	471412	470939	41	Not available 	1	0
chrVIII	YHR184W	Not available 	Not available 	472744	474459	Not available 	Not available 	1	0
chrVIII	YHR185C	Not available 	Not available 	475340	474627	Not available 	Not available 	1	1
chrVIII	YHR186C	120	88	480672	475999	52	Not available 	0	1
chrVIII	YHR187W	230	36	480990	481919	110	0	1	1
chrVIII	YHR188C	Not available 	41	483837	482005	48	2	1	1
chrVIII	YHR189W	Not available 	Not available 	484028	484600	Not available 	Not available 	0	1
chrVIII	YHR190W	Not available 	50	484845	486179	100	0	1	1
chrVIII	YHR191C	75	42	486631	486230	180	0	1	0
chrVIII	YHR192W	0	26	486826	487662	78	0	1	1
chrVIII	YHR193C	Not available 	18	488236	487712	44	0	1	1
chrVIII	YHR194W	Not available 	Not available 	488657	490396	87	115	0	1
chrVIII	YHR193C-A	Not available 	Not available 	489027	488653	Not available 	Not available 	0	1
chrVIII	YHR195W	115	149	490747	491712	192	0	0	1
chrVIII	YHR196W	0	56	491931	493658	47	185	0	1
chrVIII	YHR197W	185	6	493896	496187	107	Not available 	1	0
chrVIII	YHR198C	Not available 	Not available 	497280	496315	118	4	1	0
chrVIII	YHR199C	Not available 	Not available 	498422	497490	44	Not available 	0	1
chrVIII	YHR199C-A	Not available 	Not available 	498859	498571	Not available 	Not available 	0	0
chrVIII	YHR200W	Not available 	32	499079	499885	67	0	1	0
chrVIII	YHR201C	Not available 	17	501143	499950	131	0	1	0
chrVIII	YHR202W	Not available 	Not available 	502388	504196	Not available 	Not available 	1	1
chrVIII	YHR203C	639	27	505530	504476	106	Not available 	1	1
chrVIII	YHR204W	477	206	506319	508709	123	Not available 	0	1
chrVIII	YHR205W	Not available 	Not available 	509363	511837	180	417	0	0
chrVIII	YHR206W	417	298	512732	514600	300	0	1	0
chrVIII	YHR207C	847	44	516485	514905	93	0	1	1
chrVIII	YHR208W	931	23	517532	518713	156	459	0	1
chrVIII	YHR209W	459	109	519437	520312	78	Not available 	1	1
chrVIII	YHR210C	Not available 	Not available 	521737	520712	Not available 	Not available 	1	1
chrVIII	YHR211W	Not available 	Not available 	525392	528619	Not available 	Not available 	1	0
chrVIII	YHR212C	Not available 	Not available 	538094	537759	Not available 	Not available 	1	0
chrVIII	YHR212W-A	Not available 	Not available 	538742	538945	Not available 	Not available 	0	1
chrVIII	YHR213W	Not available 	Not available 	539151	539747	Not available 	Not available 	0	0
chrVIII	YHR213W-A	Not available 	Not available 	540549	540782	Not available 	Not available 	0	0
chrVIII	YHR213W-B	Not available 	Not available 	540800	541099	Not available 	Not available 	0	0
chrVIII	YHR214W	Not available 	Not available 	541651	542262	Not available 	Not available 	0	1
chrVIII	YHR214W-A	Not available 	Not available 	543008	543493	Not available 	Not available 	1	1
chrVIII	YHR214C-D	Not available 	Not available 	550941	550648	Not available 	Not available 	1	1
chrVIII	YHR214C-E	Not available 	Not available 	551499	551200	Not available 	Not available 	0	0
chrVIII	YHR215W	Not available 	45	552099	553502	67	631	0	1
chrVIII	YHR216W	631	196	554396	555967	180	Not available 	1	1
chrVIII	YHR217C	Not available 	Not available 	557042	556581	Not available 	Not available 	1	0
chrVIII	YHR218W	Not available 	Not available 	558014	559924	Not available 	Not available 	0	0
chrVIII	YHR218W-A	Not available 	Not available 	559932	560249	Not available 	Not available 	0	0
chrVIII	YHR219W	Not available 	Not available 	560173	562047	Not available 	Not available 	1	1
chrVIII	YHR219C-A	Not available 	Not available 	561681	561199	Not available 	Not available 	1	0
chrX	YJL225W-A	Not available 	Not available 	829	1311	Not available 	Not available 	1	0
chrX	YJL225C	Not available 	Not available 	6130	466	Not available 	Not available 	1	0
chrX	YJL223C	Not available 	Not available 	9138	8776	Not available 	Not available 	0	0
chrX	YJL222W-B	Not available 	Not available 	9346	9483	Not available 	Not available 	0	1
chrX	YJL222W-A	Not available 	Not available 	9452	9679	Not available 	Not available 	0	1
chrX	YJL222W	Not available 	Not available 	11475	16124	Not available 	Not available 	1	0
chrX	YJL220W	Not available 	Not available 	18243	18695	Not available 	Not available 	0	0
chrX	YJL221C	Not available 	Not available 	18536	16767	Not available 	Not available 	1	0
chrX	YJL219W	Not available 	Not available 	19497	21200	Not available 	Not available 	0	1
chrX	YJL218W	Not available 	35	21973	22563	151	339	0	0
chrX	YJL217W	339	80	23133	23729	115	440	1	0
chrX	YJL216C	Not available 	57	26086	24341	26	506	1	1
chrX	YJL215C	Not available 	Not available 	26771	26412	Not available 	Not available 	0	0
chrX	YJL214W	Not available 	Not available 	26887	28596	Not available 	Not available 	0	1
chrX	YJL213W	Not available 	177	32163	33158	102	558	1	0
chrX	YJL212C	449	32	36249	33850	100	415	1	1
chrX	YJL210W	Not available 	Not available 	36919	37734	65	123	0	0
chrX	YJL211C	Not available 	Not available 	37200	36757	27	449	0	1
chrX	YJL209W	123	83	38005	39969	95	Not available 	1	0
chrX	YJL208C	Not available 	Not available 	41183	40194	123	19	1	1
chrX	YJL207C	147	1	47433	41389	21	Not available 	0	1
chrX	YJL206C	Not available 	Not available 	49935	47659	78	147	0	1
chrX	YJL205C	87	51	50443	50139	96	Not available 	0	1
chrX	YJL204C	18	60	53151	50629	48	87	0	0
chrX	YJL203W	113	29	53341	54183	112	Not available 	1	1
chrX	YJL202C	Not available 	Not available 	54290	53943	Not available 	Not available 	1	1
chrX	YJL201W	Not available 	Not available 	54379	56178	54	171	1	1
chrX	YJL200C	785	41	58813	56444	131	Not available 	1	1
chrX	YJL199C	499	83	60181	59855	216	785	0	0
chrX	YJL198W	283	163	60843	63488	80	185	0	0
chrX	YJL197W	185	51	63804	67568	78	Not available 	1	1
chrX	YJL197C-A	Not available 	Not available 	66085	65804	Not available 	Not available 	1	1
chrX	YJL196C	Not available 	45	68781	67849	110	120	1	0
chrX	YJL194W	Not available 	Not available 	69337	70878	Not available 	Not available 	0	0
chrX	YJL195C	Not available 	Not available 	69941	69240	Not available 	Not available 	0	0
chrX	YJL193W	Not available 	102	71365	72573	129	0	1	0
chrX	YJL192C	241	26	73413	72709	69	0	1	0
chrX	YJL191W	287	17	73786	74610	106	181	1	0
chrX	YJL190C	481	12	75301	74909	129	153	1	1
chrX	YJL189W	475	27	75932	76473	138	Not available 	1	0
chrX	YJL188C	Not available 	Not available 	76509	76201	Not available 	Not available 	1	0
chrX	YJL187C	Not available 	Not available 	79261	76802	Not available 	Not available 	0	1
chrX	YJL186W	Not available 	19	80153	81913	95	0	1	1
chrX	YJL185C	268	129	82974	82093	143	18	1	1
chrX	YJL184W	300	29	83446	83817	75	98	0	1
chrX	YJL183W	98	76	84066	85334	65	Not available 	1	1
chrX	YJL181W	Not available 	Not available 	85658	87493	85	0	1	0
chrX	YJL182C	Not available 	Not available 	85750	85433	Not available 	Not available 	1	0
chrX	YJL180C	77	15	88558	87581	83	Not available 	1	0
chrX	YJL179W	101	43	88785	89114	135	8	1	1
chrX	YJL178C	570	23	90095	89280	98	25	1	0
chrX	YJL177W	552	39	90784	91655	96	236	1	1
chrX	YJL175W	Not available 	Not available 	94047	94559	0	415	0	1
chrX	YJL176C	0	64	94528	92051	59	298	1	0
chrX	YJL174W	415	116	95090	95920	171	Not available 	1	1
chrX	YJL173C	Not available 	Not available 	96527	96159	59	64	1	0
chrX	YJL172W	1119	26	97731	99461	141	57	1	1
chrX	YJL171C	217	39	100888	99698	178	33	1	0
chrX	YJL170C	Not available 	29	101773	101144	0	217	0	0
chrX	YJL169W	Not available 	Not available 	102093	102461	Not available 	Not available 	1	1
chrX	YJL168C	451	40	104422	102221	176	Not available 	1	1
chrX	YJL167W	353	57	105008	106066	95	172	0	1
chrX	YJL166W	172	95	106428	106712	170	0	1	0
chrX	YJL165C	280	136	109455	106888	7	74	1	1
chrX	YJL164C	264	180	111153	109960	89	280	0	0
chrX	YJL163C	305	76	113329	111662	65	264	0	1
chrX	YJL162C	1384	64	115625	113874	164	305	0	1
chrX	YJL161W	1361	91	117241	117783	168	0	1	1
chrX	YJL160C	1224	96	118821	117958	156	0	1	1
chrX	YJL159W	1413	55	120445	121686	304	244	1	0
chrX	YJL158C	726	27	122944	122261	165	355	1	1
chrX	YJL157C	Not available 	Not available 	126324	123832	135	726	0	0
chrX	YJL156W-A	Not available 	Not available 	126600	126821	Not available 	Not available 	1	-1
chrX	YJL156C	104	85	128949	126886	405	Not available 	1	-1
chrX	YJL155C	316	114	130640	129282	144	104	0	0
chrX	YJL154C	Not available 	55	133932	131098	28	316	0	1
chrX	YJL153C	Not available 	Not available 	135930	134329	Not available 	Not available 	0	1
chrX	YJL152W	Not available 	Not available 	136171	136530	Not available 	Not available 	1	1
chrX	YJL151C	Not available 	24	136770	136369	45	Not available 	1	1
chrX	YJL150W	Not available 	Not available 	137120	137422	Not available 	Not available 	0	1
chrX	YJL149W	Not available 	46	137376	139367	310	714	0	1
chrX	YJL148W	714	43	140434	141135	62	95	1	0
chrX	YJL147C	466	124	142564	141416	31	207	1	0
chrX	YJL146W	598	96	143289	144698	135	284	0	0
chrX	YJL145W	284	40	145157	146041	66	228	0	0
chrX	YJL144W	228	21	146356	146670	234	151	0	1
chrX	YJL143W	151	43	147098	147574	314	Not available 	1	1
chrX	YJL142C	Not available 	Not available 	148208	147816	4	195	1	1
chrX	YJL141C	430	89	150387	147964	129	Not available 	0	1
chrX	YJL140W	358	84	150958	151623	52	0	1	0
chrX	YJL139C	285	54	152996	151710	789	0	1	0
chrX	YJL138C	111	88	154688	153501	166	285	0	0
chrX	YJL137C	Not available 	56	156124	154982	95	111	0	0
chrX	YJL136W-A	Not available 	Not available 	156166	156249	Not available 	Not available 	1	0
chrX	YJL136C	Not available 	21	157270	156547	120	Not available 	1	0
chrX	YJL135W	Not available 	Not available 	157874	158191	Not available 	Not available 	0	0
chrX	YJL134W	Not available 	Not available 	158185	159414	75	73	1	0
chrX	YJL133C-A	582	58	159844	159620	144	Not available 	1	0
chrX	YJL133W	457	171	160616	161560	132	125	0	0
chrX	YJL132W	125	94	161911	164163	162	Not available 	1	0
chrX	YJL131C	Not available 	Not available 	165345	164275	Not available 	Not available 	1	1
chrX	YJL130C	544	624	172364	165720	77	Not available 	0	0
chrX	YJL129C	626	143	177303	173596	64	544	0	0
chrX	YJL128C	0	193	180100	178094	22	626	0	1
chrX	YJL127W-A	Not available 	Not available 	180191	180307	0	1110	1	1
chrX	YJL127C-B	191	132	181707	181549	269	Not available 	1	0
chrX	YJL127C	Not available 	93	184218	182296	266	191	0	0
chrX	YJL126W	Not available 	Not available 	184499	185422	Not available 	Not available 	1	0
chrX	YJL125C	211	33	186677	185526	102	Not available 	1	1
chrX	YJL124C	183	158	187643	187125	204	211	0	0
chrX	YJL123C	93	26	189439	188003	19	183	0	0
chrX	YJL122W	228	29	189715	190242	157	0	1	0
chrX	YJL120W	Not available 	Not available 	191021	191344	Not available 	Not available 	1	0
chrX	YJL121C	Not available 	100	191089	190373	65	37	1	0
chrX	YJL118W	Not available 	Not available 	191638	192297	169	0	0	0
chrX	YJL119C	Not available 	Not available 	191894	191571	Not available 	Not available 	1	0
chrX	YJL117W	0	139	192530	193465	19	Not available 	1	0
chrX	YJL116C	Not available 	Not available 	194872	193859	Not available 	Not available 	1	1
chrX	YJL115W	Not available 	64	196285	197124	83	8070	0	1
chrX	YJL112W	8070	24	205301	207445	141	121	0	1
chrX	YJL111W	121	166	207873	209525	130	151	1	1
chrX	YJL110C	261	112	211573	209918	81	146	1	1
chrX	YJL109C	Not available 	38	217305	211996	50	261	0	1
chrX	YJL108C	Not available 	Not available 	218852	217701	Not available 	Not available 	0	1
chrX	YJL107C	Not available 	Not available 	220012	218849	Not available 	Not available 	0	0
chrX	YJL106W	Not available 	99	221386	223323	215	Not available 	0	1
chrX	YJL105W	Not available 	Not available 	225051	226733	0	560	0	0
chrX	YJL104W	560	30	227323	227772	169	Not available 	1	1
chrX	YJL103C	Not available 	Not available 	230877	229021	200	1019	1	0
chrX	YJL102W	201	19	231297	233756	3	404	1	0
chrX	YJL101C	Not available 	153	236352	234316	207	334	1	0
chrX	YJL100W	Not available 	Not available 	237259	239082	Not available 	Not available 	0	0
chrX	YJL099W	Not available 	100	239410	241650	347	54	0	0
chrX	YJL098W	54	27	242078	245254	69	220	0	0
chrX	YJL097W	220	44	245587	246240	56	159	0	0
chrX	YJL096W	159	31	246486	246971	67	Not available 	0	1
chrX	YJL095W	Not available 	Not available 	247250	251686	74	0	1	0
chrX	YJL094C	131	64	254437	251816	117	Not available 	1	0
chrX	YJL093C	Not available 	Not available 	256807	254732	100	131	0	1
chrX	YJL092W	344	167	257418	260942	92	33	1	0
chrX	YJL091C	127	8	262547	261075	142	0	1	1
chrX	YJL090C	Not available 	855	265046	262752	70	127	0	1
chrX	YJL089W	Not available 	Not available 	265921	268410	Not available 	Not available 	0	1
chrX	YJL088W	Not available 	27	268794	269810	97	Not available 	1	1
chrX	YJL087C	Not available 	Not available 	272480	269997	Not available 	Not available 	1	1
chrX	YJL085W	Not available 	Not available 	272822	274693	111	0	1	1
chrX	YJL086C	Not available 	Not available 	272841	272473	Not available 	Not available 	0	1
chrX	YJL084C	612	83	277997	274857	0	Not available 	1	0
chrX	YJL083W	784	55	278836	280650	144	269	0	1
chrX	YJL082W	269	117	281180	283375	220	172	1	0
chrX	YJL081C	175	30	285266	283797	123	182	1	1
chrX	YJL080C	301	183	289221	285553	82	175	0	1
chrX	YJL079C	195	184	290769	289870	165	301	0	1
chrX	YJL078C	0	65	293976	291331	183	195	0	1
chrX	YJL077W-B	Not available 	Not available 	294042	294140	201	292	1	1
chrX	YJL077W-A	Not available 	Not available 	294794	294880	Not available 	Not available 	0	1
chrX	YJL077C	112	28	295056	294661	35	Not available 	1	-1
chrX	YJL076W	Not available 	45	295240	298809	44	Not available 	1	0
chrX	YJL075C	Not available 	Not available 	298871	298455	Not available 	Not available 	1	1
chrX	YJL074C	199	44	302844	299152	86	Not available 	0	0
chrX	YJL073W	124	122	303176	305113	89	Not available 	1	0
chrX	YJL072C	Not available 	Not available 	305857	305216	Not available 	Not available 	1	1
chrX	YJL071W	Not available 	Not available 	306127	307851	Not available 	Not available 	1	0
chrX	YJL070C	147	71	310632	307966	87	Not available 	1	1
chrX	YJL069C	201	23	312701	310917	67	147	0	1
chrX	YJL068C	Not available 	Not available 	313910	313011	86	201	0	0
chrX	YJL067W	Not available 	Not available 	314079	314429	Not available 	Not available 	1	1
chrX	YJL066C	Not available 	Not available 	314867	314109	189	Not available 	1	0
chrX	YJL064W	Not available 	Not available 	315170	315565	0	159	1	0
chrX	YJL065C	Not available 	Not available 	315552	315049	98	Not available 	0	1
chrX	YJL063C	19	30	316470	315754	59	Not available 	1	1
chrX	YJL062W-A	173	16	316718	316975	199	72	0	0
chrX	YJL062W	72	33	317279	319771	84	92	0	0
chrX	YJL061W	92	64	320011	322152	118	1050	0	0
chrX	YJL060W	1050	61	323381	324715	90	55	0	1
chrX	YJL059W	55	99	324959	326185	92	Not available 	1	1
chrX	YJL058C	Not available 	Not available 	327868	326237	Not available 	Not available 	1	0
chrX	YJL057C	135	97	330116	328113	59	Not available 	0	1
chrX	YJL056C	160	61	333068	330426	78	135	0	0
chrX	YJL055W	185	21	333352	334089	63	88	0	0
chrX	YJL054W	88	20	334260	335696	191	Not available 	0	0
chrX	YJL053W	Not available 	Not available 	335893	337032	135	Not available 	1	0
chrX	YJL052C-A	Not available 	Not available 	337998	337879	Not available 	Not available 	1	0
chrX	YJL052W	Not available 	75	338266	339264	131	Not available 	0	1
chrX	YJL051W	Not available 	Not available 	339782	342250	Not available 	Not available 	0	1
chrX	YJL050W	Not available 	183	342517	345738	49	110	0	0
chrX	YJL049W	110	71	345968	347320	79	0	1	0
chrX	YJL048C	Not available 	153	348632	347442	133	0	1	1
chrX	YJL047C-A	Not available 	Not available 	349173	349039	Not available 	Not available 	0	1
chrX	YJL047C	27	68	352103	349575	45	Not available 	0	1
chrX	YJL046W	214	19	352381	353610	183	Not available 	0	1
chrX	YJL045W	Not available 	Not available 	356019	357923	Not available 	Not available 	1	1
chrX	YJL044C	Not available 	45	359671	358295	69	Not available 	1	1
chrX	YJL043W	Not available 	Not available 	360125	360898	Not available 	Not available 	0	1
chrX	YJL042W	Not available 	78	361244	365440	123	158	0	0
chrX	YJL041W	158	58	365779	368368	130	228	1	1
chrX	YJL039C	Not available 	17	373794	368743	179	138	1	1
chrX	YJL038C	Not available 	Not available 	375769	375110	Not available 	Not available 	0	0
chrX	YJL037W	Not available 	11	376657	377331	111	1303	0	0
chrX	YJL036W	1303	75	378820	380091	143	Not available 	1	1
chrX	YJL035C	Not available 	Not available 	380996	380244	Not available 	Not available 	1	0
chrX	YJL034W	Not available 	39	381322	383370	198	235	0	0
chrX	YJL033W	235	29	383832	386144	84	Not available 	0	0
chrX	YJL032W	Not available 	Not available 	386343	386657	Not available 	Not available 	1	1
chrX	YJL031C	Not available 	Not available 	387433	386363	Not available 	Not available 	1	0
chrX	YJL030W	Not available 	37	387652	388242	15	Not available 	1	0
chrX	YJL029C	Not available 	Not available 	390848	388380	Not available 	Not available 	1	0
chrX	YJL028W	Not available 	Not available 	391306	391641	Not available 	Not available 	1	1
chrX	YJL027C	Not available 	Not available 	392244	391828	Not available 	Not available 	1	0
chrX	YJL026W	Not available 	42	392399	393598	137	Not available 	1	0
chrX	YJL026C-A	Not available 	Not available 	393282	393061	318	Not available 	0	1
chrX	YJL025W	Not available 	Not available 	393962	395506	841	0	1	1
chrX	YJL024C	649	19	396587	395926	219	Not available 	1	0
chrX	YJL022W	Not available 	Not available 	398104	398412	Not available 	Not available 	1	1
chrX	YJL023C	Not available 	Not available 	398393	397350	95	649	0	0
chrX	YJL020W-A	Not available 	Not available 	400976	401233	Not available 	Not available 	0	1
chrX	YJL020C	409	74	402405	398932	122	Not available 	1	1
chrX	YJL019W	Not available 	102	402892	404940	4	250	0	1
chrX	YJL016W	250	389	405583	407268	109	Not available 	1	0
chrX	YJL015C	Not available 	Not available 	407511	407137	188	0	1	1
chrX	YJL014W	0	32	407552	409156	122	187	1	1
chrX	YJL013C	124	22	411034	409487	249	50	1	1
chrX	YJL012C	728	32	413393	411228	48	124	0	0
chrX	YJL011C	2686	45	414764	414279	126	728	0	1
chrX	YJL010C	0	22	419556	417556	61	2686	0	0
chrX	YJL009W	153	79	419849	420175	655	0	1	1
chrX	YJL008C	Not available 	26	421657	419951	128	0	1	0
chrX	YJL007C	Not available 	Not available 	423006	422692	Not available 	Not available 	0	0
chrX	YJL006C	805	30	424103	423132	55	Not available 	0	1
chrX	YJL005W	837	156	425151	431231	213	131	1	1
chrX	YJL004C	236	8	432194	431583	265	0	1	1
chrX	YJL003W	128	51	432638	432994	200	0	1	0
chrX	YJL002C	357	41	434645	433215	80	90	1	0
chrX	YJL001W	391	41	435157	435920	114	705	0	1
chrX	YJR001W	705	57	436796	438604	85	152	0	1
chrX	YJR002W	152	17	438858	440639	361	Not available 	1	1
chrX	YJR003C	Not available 	Not available 	442546	440987	79	252	1	1
chrX	YJR004C	Not available 	Not available 	444854	442902	138	Not available 	0	0
chrX	YJR005W	877	47	445916	448018	291	Not available 	1	0
chrX	YJR005C-A	Not available 	Not available 	448751	448470	Not available 	Not available 	1	0
chrX	YJR006W	Not available 	5	449195	450658	58	211	0	0
chrX	YJR007W	211	86	451013	451927	169	176	0	0
chrX	YJR008W	176	151	452423	453439	82	122	1	1
chrX	YJR009C	1374	33	454674	453676	97	0	1	1
chrX	YJR010W	1371	90	456232	457767	151	Not available 	1	1
chrX	YJR010C-A	Not available 	Not available 	458354	458070	213	0	1	1
chrX	YJR011C	264	45	459419	458634	79	Not available 	0	1
chrX	YJR013W	Not available 	Not available 	460375	461586	89	109	0	1
chrX	YJR012C	Not available 	Not available 	460411	459788	60	264	0	0
chrX	YJR014W	109	38	461822	462418	101	Not available 	0	0
chrX	YJR015W	Not available 	Not available 	462714	464246	133	48	1	0
chrX	YJR016C	78	17	466201	464444	135	Not available 	1	1
chrX	YJR018W	Not available 	Not available 	466779	467141	37	Not available 	1	0
chrX	YJR017C	0	23	467026	466514	218	78	0	1
chrX	YJR020W	Not available 	Not available 	467994	468326	Not available 	Not available 	1	0
chrX	YJR019C	Not available 	Not available 	468274	467225	71	Not available 	1	1
chrX	YJR021C	0	124	469572	468548	79	Not available 	1	0
chrX	YJR022W	107	19	469777	470106	119	Not available 	1	0
chrX	YJR023C	Not available 	Not available 	470198	469797	Not available 	Not available 	1	1
chrX	YJR024C	Not available 	Not available 	470957	470223	114	Not available 	0	0
chrX	YJR025C	12215	67	471664	471131	128	Not available 	0	0
chrX	YJR030C	222	60	486189	483952	6	12215	0	0
chrX	YJR031C	84	77	490805	486579	108	222	0	1
chrX	YJR032W	154	7	491074	492255	108	Not available 	1	1
chrX	YJR033C	Not available 	Not available 	496444	492371	Not available 	Not available 	1	1
chrX	YJR034W	Not available 	78	496676	497002	65	Not available 	0	1
chrX	YJR035W	Not available 	Not available 	497348	500605	Not available 	Not available 	1	1
chrX	YJR037W	Not available 	Not available 	503095	503478	Not available 	Not available 	1	1
chrX	YJR036C	Not available 	Not available 	503384	500706	53	Not available 	1	1
chrX	YJR039W	Not available 	Not available 	503929	507294	106	296	0	0
