gene	chromosome	peakPosition	LOD	2LODIntervalLeft	2LODIntervalRight	alleleFrequencyDifference
YPL028W	chr02	134800	5.83	92500	198900	0.1041737127
YPL028W	chr07	950500	5.34	904500	991700	0.1059545281
YPL028W	chr12	659200	86.68	649200	677200	-0.4459818939
YPL028W	chr13	60200	7.98	37200	98300	0.1214385679
YPL028W	chr13	418900	13.5	396400	448500	-0.1742963245
YPL028W	chr14	459900	36.25	445600	473800	0.2649720441
YPL048W	chr02	124100	10.87	93800	144500	0.1663305525
YPL048W	chr07	214100	5.52	163000	246000	-0.1095749392
YPL048W	chr08	114000	9.9	86500	139100	0.1388972188
YPL048W	chr10	153200	10.17	127800	179000	-0.1638091611
YPL048W	chr11	244800	7.8	223100	279200	-0.137640577
YPL078C	chr05	387600	21.81	367300	413300	-0.2165065156
YPL078C	chr10	155000	4.54	112600	231400	0.1107457469
YPL078C	chr11	231100	20.12	218500	246000	-0.2065421014
YPL078C	chr12	660300	17.67	639500	705600	-0.1901401639
YPL078C	chr14	456200	19.46	438500	469200	-0.2124876417
YPL079W	chr01	28200	4.67	0	56400	-0.1233660561
YPL079W	chr02	141700	11.78	108400	161400	0.1618902834
YPL079W	chr05	217000	5.64	169700	285700	-0.1086807058
YPL079W	chr10	653300	4.62	616300	690300	-0.1100309837
YPL079W	chr16	209000	4.76	154300	253400	0.1025218434
YPL085W	chr12	256100	5.01	227700	319000	-0.1028920927
YPL085W	chr12	642700	4.61	562800	691000	0.098849078
YPL085W	chr12	1059500	6.68	1022700	1059600	0.1185863835
YPL085W	chr14	432900	16.52	411600	467600	0.1933301995
YPL085W	chr15	141100	7.11	85000	200600	0.1072382161
YPL160W	chr07	127700	10.05	92200	141900	-0.1443254975
YPL160W	chr08	170000	9.34	145400	191900	0.1424172136
YPL160W	chr09	113000	4.69	50600	143500	-0.0980143589
YPL160W	chr14	464100	45.72	454000	476500	0.3099099627
YPL160W	chr15	153000	19.97	140700	167900	0.1947329732
YPL225W	chr12	246500	5.34	215500	345400	-0.1143153595
YPL225W	chr12	628200	12.47	613000	647800	0.1723225698
YPL225W	chr12	1053200	7.52	1020600	1059600	0.1300167848
YPL225W	chr13	88600	15.37	76200	116700	0.1607441275
YPL226W	chr01	42200	7.28	0	59000	-0.1254679885
YPL226W	chr14	463000	26.49	446800	475300	0.2354730057
YPL226W	chr15	148700	14.26	130200	177100	0.1667006812
YPL228W	chr01	28300	5.72	0	86000	-0.1057788982
YPL228W	chr02	794800	4.9	741800	809200	0.0991088991
YPL228W	chr03	299100	5.18	247400	307000	0.1401642164
YPL228W	chr04	60100	17.89	0	78500	-0.1736550708
YPL228W	chr04	577200	14.26	560200	601800	-0.1638737743
YPL228W	chr04	1016500	8.13	966300	1041700	0.112921916
YPL228W	chr06	148700	8.72	124400	186000	-0.1341133746
YPL228W	chr07	548800	23.32	505300	583500	0.2061692378
YPL228W	chr08	117000	9.84	100500	139500	0.1596692827
YPL228W	chr08	442900	4.71	413700	496900	-0.1045432509
YPL228W	chr09	430300	19.39	424000	433800	0.2652308172
YPL228W	chr10	108000	4.65	55900	166800	-0.0927137303
YPL228W	chr10	441200	23.67	403500	453400	0.2129783358
YPL228W	chr11	476300	6.11	427700	505100	-0.1158315446
YPL228W	chr12	250600	7.95	231700	265600	-0.1344944001
YPL228W	chr12	822000	6.21	751700	835800	0.137043946
YPL228W	chr13	447100	14.66	434400	489500	-0.1751261983
YPL228W	chr14	218200	5.58	162500	295400	-0.0963005206
YPL228W	chr15	32400	5.57	0	60600	0.1016128996
YPL228W	chr15	440800	5.63	317500	471100	0.1126705594
YPL228W	chr16	489300	7.42	473300	515200	0.1402657949
YPR028W	chr02	132300	10.76	79900	181900	0.1470260724
YPR028W	chr02	384900	4.86	342000	424200	-0.1015120725
YPR028W	chr04	721900	4.83	580300	775000	-0.1013663021
YPR028W	chr07	403200	12.34	373500	447900	0.1667182345
YPR028W	chr08	135800	8.44	89400	165500	0.1264019803
YPR028W	chr14	458300	13.64	434200	486700	0.1855559586
YPR028W	chr15	97500	4.79	27000	133200	0.0963918472
YPR035W	chr01	34900	23.11	0	55200	-0.2275692833
YPR035W	chr02	636100	7.95	541200	693100	-0.1181829357
YPR035W	chr05	198600	11.23	172200	214900	-0.1615958488
YPR035W	chr08	172000	8.25	143500	201700	-0.1363589375
YPR035W	chr09	114200	5.41	84600	157900	-0.1143888135
YPR035W	chr10	423200	4.97	395500	662000	-0.1047065948
YPR035W	chr12	649100	6.82	614300	696100	0.1236722224
YPR035W	chr13	55800	7.9	20100	94400	-0.1182572378
YPR035W	chr14	464200	39.05	449000	475400	0.3120092881
YPR035W	chr15	167400	43.03	152500	179400	0.3085232924
YPR035W	chr16	206200	8.35	171400	250100	0.1417240015
YPR074C	chr02	168600	6.27	134100	235900	0.1207297099
YPR074C	chr11	273300	16.81	256900	293500	-0.1877260461
YPR074C	chr14	235400	5.22	159500	293900	-0.0985653793
YPR074C	chr14	486300	7.55	456100	534700	0.1317979573
YPR125W	chr03	9300	4.82	0	52400	0.0551686665
YPR125W	chr13	117600	6.73	43800	158400	0.1253684506
YPR125W	chr14	463700	4.97	435600	509700	-0.0947163069
YPR156C	chr04	1375000	7.4	1319900	1472100	0.1178598514
YPR156C	chr13	41400	8.79	0	115900	-0.1262493707
YPR156C	chr14	441100	6.57	402100	493900	0.122031935
YPR160W	chr01	38900	39.27	29900	51500	0.291538318
YPR160W	chr02	137800	10.06	108300	158400	-0.146481002
YPR160W	chr04	258700	12.25	187200	280500	-0.161969262
YPR160W	chr04	645600	15.85	610000	678900	-0.1749759007
YPR160W	chr05	196700	27.38	182400	220000	0.2417228518
YPR160W	chr05	415100	17.71	390700	438700	-0.1988007883
YPR160W	chr07	498400	10.71	472400	553500	0.1505237098
YPR160W	chr08	99100	28.03	80700	112700	0.2559269928
YPR160W	chr09	197000	4.85	178700	247700	0.1091266975
YPR160W	chr10	663500	8.92	647100	691700	0.1331463316
YPR160W	chr11	138700	9.79	114900	181600	0.1352732522
YPR160W	chr12	218100	9.45	143100	270100	-0.1246391975
YPR160W	chr12	647000	17.52	629600	675500	0.2017567398
YPR160W	chr12	1038100	8.88	936000	1059600	0.1329822765
YPR160W	chr13	425200	5.09	371300	461900	-0.0952482138
YPR160W	chr14	489800	14.62	460900	530700	0.1827779454
YPR160W	chr15	171400	60.03	155300	180700	-0.4026063322
YPR160W	chr15	610000	8.99	566800	635000	0.1343274021
YPR160W	chr16	470800	10.55	454600	510500	-0.1437607596
YPR163C	chr02	188700	8.23	102000	214700	0.1223103719
YPR163C	chr13	123700	6.52	89700	165200	0.1057266276
YPR163C	chr15	172700	7.67	113800	203100	0.1290972522

